,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
856,48.2,124,17.4,11.423,11,0.200000000000003,0.399999999999999,0
1762,61.1,222,16,11.43,11,0.100000000000001,0.199999999999996,0
386,50.3,167,14.7,11.435,11,-0.5,0.300000000000004,-15
489,53.6,124,13.6,11.439,11,0.0999999999999996,0.5,1
147,48.7,172,13.8,11.449,11,0.399999999999999,-3.40000000000001,-13
257,48.4,174,19,11.45,11,-0.300000000000001,-0.299999999999997,-5
733,53.8,125,13,11.452,11,0.199999999999999,-0.199999999999996,0
36,43.1,154,18.2,11.462,11,-0.199999999999999,0.600000000000001,-2
1486,61.7,225,16.9,11.464,11,0.100000000000001,-0.300000000000004,-1
916,44.6,100,20.4,11.47,11,-0.0999999999999979,-0.800000000000004,0
1189,46.3,98,21.1,11.478,11,-0.200000000000003,-0.299999999999997,2
1364,58.2,103,14.3,11.481,11,0.299999999999999,-2.8,0
1987,58.1,220,11.5,11.489,11,0.9,-8,1
604,52.5,127,10.3,11.499,11,0.299999999999999,0.700000000000003,-1
857,48.6,124,17.6,11.509,12,0,-0.100000000000001,0
1763,61.3,222,16.1,11.516,12,0,0.300000000000004,1
490,54.1,125,13.7,11.525,12,0.300000000000001,-0.200000000000003,0
148,45.3,159,14.2,11.535,12,0.100000000000001,3.40000000000001,13
734,53.6,125,13.2,11.538,12,0.4,-2,-1
258,48.1,169,18.7,11.539,12,0.199999999999999,0.299999999999997,4
37,43.7,152,18,11.548,12,-0.199999999999999,0.399999999999999,18
1487,61.4,224,17,11.55,12,0.5,-1.2,-6
917,43.8,100,20.3,11.556,12,0.0999999999999979,-0.899999999999999,1
1190,46,100,20.9,11.564,12,0.100000000000001,-0.700000000000003,0
1365,55.4,103,14.6,11.567,12,0.300000000000001,0.200000000000003,0
1988,50.1,221,12.4,11.575,12,0,1.8,-1
605,53.2,126,10.6,11.585,12,0.200000000000001,-0.5,2
858,48.5,124,17.6,11.595,12,0.199999999999999,-0.700000000000003,0
1764,61.6,223,16.1,11.602,12,0.899999999999999,-1.2,0
387,50.6,152,14.2,11.607,12,0.300000000000001,-1,0
491,53.9,125,14,11.611,12,-0.4,1.4,0
149,48.7,172,14.3,11.621,12,0.0999999999999996,-5.1,-19
259,48.4,173,18.9,11.624,12,0.200000000000003,0.100000000000001,1
735,51.6,124,13.6,11.624,12,0.6,-4.5,0
1300,50.6,103,15.7,11.63,12,0.200000000000001,-0.600000000000001,0
38,44.1,170,17.8,11.634,12,0,1.1,-10
1488,60.2,218,17.5,11.637,12,0.5,-1.90000000000001,-1
918,42.9,101,20.4,11.642,12,0.100000000000001,1.7,-2
1191,45.3,100,21,11.65,12,0.100000000000001,-0.399999999999999,1
1366,55.6,103,14.9,11.653,12,0.4,-3,0
1989,51.9,220,12.4,11.661,12,0.4,2.7,1
606,52.7,128,10.8,11.672,12,0.0999999999999996,-0.800000000000004,-3
